name;spelling;born;country;start_year;end_year;played_1v1;played_tg;voobly_elo;earnings;teams
vivi;Fat_Dragon ;1993;cn;2012;-1;707;1418;2722;45136.85;Frantic,Chao Ren,_AreS_,SY,YinYang,White Wolf Palace,LingYuan
Capoch;;1987;ar;2001;-1;2206;184;;42960.71;RiZen,The Legion Clan,Infinity Legends,Imperiales Team
Hearttt;heart,heartt;1996;pe;2012;-1;4437;129;2544;42139.63;Aftermath,WeSports
Sitaux;;1999;fr;2015;-1;1869;5027;2366;41338.05;Heresy,mYinsanity,Taiwan Aoe Gamer
Chris;L_clan_chris;1987;ca;2001;-1;1577;398;2514;40188.69;RiZen,The Legion Clan,The Immortals,Revenge of Knight,WolfpacK,GTL,Infinity Legends,Unforseen Consequences
slam;;1988;ca;2009;-1;3987;1527;2576;35329.96;The Immortals,Revenge of Knight,TyRanT,Team Secret,GamerLegion,Los Machos
BacT;;1991;vn;2007;2023;2707;561;2575;34168.38;TyRanT,Vietnam Legends,Infinity Legends
Halen;;1984;jp;2001;2011;;;;33987.64;CNS,Berserkers,Unholy Disciples,Poison of Zone,TyRanT
Barles;_barles_;;pl;2013;-1;3201;732;2375;31594.77;The Jedi Masters,The Amigos
Sebastian;sebastian2002;2002;uy;2017;-1;2914;939;;30720.2;DarkSidE,Fox
Lyx;;1986;cn;2010;-1;2666;4137;2458;29304.5;CSC,Frantic,SY,YinYang,White Wolf Palace,LingYuan
TheMax;Max;;fi;2012;-1;1132;3521;2599;28969.58;Suomi
RiuT;;1993;br;2003;2023;671;194;2475;27415.74;Revenge of Knight,TyRanT,Lords of Skulls,Brazukas,Infinity Legends,KGB
F1re;;1988;br;2009;-1;4819;1749;2551;26186.63;FOX (brazil team),Fully Torqued,TyRanT,Brazukas,KGB
miguel;;1992;br;2007;-1;2565;782;2476;25745.52;Lords of Skulls,Brazukas,Heresy,Los Machos,Fs,Unforseen Consequences,Bots United
Mozory;;1983;kr;2000;2001;;;;25050;
FreakinAndy;;1997;at;2020;-1;3036;1540;;24604.77;Freakin,mYinsanity
Kaohen;;1977;tw;2000;2004;;;;20020;
IamKmkm;;1984;tw;2001;2002;;;;20000;
Valas;;;fi;2015;-1;2340;1272;2319;19970.54;The Amigos,Suomi
kkab;kkab__;;kr;2003;2015;;;2176;19543.59;CNS,Berserkers,TyRanT
Koven;;1980;kr;2000;2014;;;;17675;Arch,Berserkers,TyRanT
Tim;Tim_;1981;cn;2008;-1;945;1218;2577;17500.9;CyZ,CSC,RVK,Frantic,Chinese Kung Fu,Chao Ren,White Wolf Palace
IamJordan;Jcool;;tw;;;;;;16686.51;The Legion Clan
saymyname;yellow;1989;vn;2005;-1;3670;5211;2533;15144.59;Vietnam Legends
Daniel;;1995;us;2012;-1;3418;430;2424;13908.62;Poison of Zone,Alliance,Brazukas,PetGunPet,Infinity Legends,White Wolf Palace,mYinsanity
Rubenstock;;1996;fi;2011;-1;4293;1040;2366;13167.2;Suomi
Ganji;;1998;se;2015;-1;330;371;2035;13094.28;The Jedi Masters,Rulers of Rome,The Amigos
Margougou;margou;2002;fr;2020;-1;2231;2029;;12720.57;mYinsanity,Fox
KingstoNe;kingston;;mx;2009;-1;3195;2477;1906;12441.01;Combi
Dark;;2004;ru;2013;-1;3597;461;2048;12373.3;SalzZ,3D!Clan,Fox,Ybati
classicpro;;1995;ua;2013;-1;2324;981;2280;12355.07;Vikings,SalzZ
LaaaaaN;lan;1996;es;2014;-1;1240;267;2518;12049.98;Los Machos,Dreamers,Heresy
Chun_Yu;chunyu,yanzi;1986;hk;2001;2007;;;;11902.5;Berserkers,Poison of Zone
paladin;fengxin;;cn;2009;-1;561;5958;2343;11747.67;Noobs From QQ,Chinese Kung Fu,SY,White Wolf Palace
IamKen;;;tw;2001;2002;;;;11466.29;
Jidba;;1986;gr;2001;-1;118;809;;11330.83;The Legion Clan,pG,Exalted,MorTaL,ELLaS,ArgoNaut,CsI,Berserkers,TyRanT
Zuppi;;1990;fi;2004;2022;1871;91;2466;11063.71;The Wolf Pack,Nadya's Boys,Suomi
St4rk;;1991;br;2002;-1;1741;539;2437;10910.29;Viper,Vietnam Legends,Revenge of Knight
Mihai06;mihai;2003;ro;2020;-1;5099;1959;;10644.51;Fox
LoveCheng;;;cn;2012;-1;;;;10606.86;Noobs From QQ,Chinese Kung Fu, SY
Nili_AoE;Nili;1988;de;2002;-1;2761;151;2330;10408.25;Tsunami,newChapter,Heresy,Team Secret,GamerLegion,Bots United
Nv_;nv;;kr;;;;;;9403.2;
The_Dragonstar;dragonstar;1999;in;2017;-1;3029;3975;2221;9098.7;Dark Empire,InDuS,BLACKSAILS
Bender;;1983;de;2002;2015;;;;9069.45;pG,The Legion Clan
Sora Kuma;;1999;tw;2018;-1;1726;1404;2000;8816.54;Meow mi,Kyo All Fallen,Taiwan Aoe Gamer
Tammy;Ding;;hk;2007;2016;;;;8070;MyST,Poison of Zone
PROject_Belgium;bugum;1997;be;2014;2023;3886;191;2420;8064.81;PetGunPet,Infinity Legends,mYinsanity,Alliance
Modri;;;si;2013;-1;1578;593;2318;7718.16;The Amigos
repard;;;ru;2013;-1;2679;692;2352;7632.08;Ybati
North;;;gb;;;;;;7500;
GX_Iron;Iron;;us;;;;;;7500;GX
True;;;us;2002;-1;632;760;;7465.88;QuEnDi,The Legion Clan
BruH;;1991;br;2006;-1;3847;560;2356;7445.69;Revenge of Knight,Lords of Skulls,DNA,The Legion Clan,Bots United,The Brotherhood Kappa,NTC,Arcano,QuEnDi,Unforseen Consequences,Bots United
BadBoy;badb0y_;1991;vn;2009;-1;1011;1230;2326;7431.84;Vietnam Legends
jibatong;jbt;;cn;2009;-1;2988;2083;2524;6474.78;SY,White Wolf Palace,LingYuan
GeeK;tea,tui_dominus;;gb;2001;2006;;;;6452.67;RiZen,The Legion Clan,CsI,zilla
TheCode;code;1989;tr;2015;-1;;;;6351.33;SuPeRNovA
Running;;1995;de;2018;-1;3722;1634;2018;6209.5;
FeAge;;1991;br;2002;-1;1263;895;2321;6033.14;Revenge of Knight,The Immortals,WolfpacK,Fs,Imba
Cl3m3nT;;1997;fr;2010;-1;1234;747;2051;6028.89;WOTC,Fox,FrCo
Bad Koala;;1996;cn;2020;-1;2354;2543;;5963.95;White Wolf Palace,LingYuan
RIP_DREAMS;;1987;nl;2002;2011;;;;5950;The Legion Clan
GoKu;;1990;br;2002;-1;736;2229;2302;5937.31;Bots United,The Legion Clan,StorM,Fully Torqued,Brazukas,KGB
Ruso;;1985;es;2003;2013;;;;5916.18;CsI,ThuG Life,The Legion Clan
SongSong;;1993;vn;2015;-1;2978;499;2402;5849;DarkSidE,Vietnam Legends
Kasva;K4SVA;1994;tr;2009;-1;7412;548;2298;5795.6;Hot Young Masters,Heresy,1907 Fenerbah�e Esports,?stanbul Wildcats
CL;CL_;;cn;;2021;421;8;2425;5327.35;Chinese Kung Fu, Chao Ren, Frantic, White Wolf Palace
Alive;;1985;br;2001;-1;3833;1788;2605;5317.06;KGB,The Legion Clan,Revenge of Knight
mentalist;;;ca;2010;-1;1686;876;;5177.88;Lords of Skulls,Unforseen Consequences,Brazukas,Nadya�s Boys
Vodka_L;Vodka;1996;it;2012;-1;1626;987;2313;5174.41;Rulers of Rome
Mimmox;dumbo;;it;2001;2002;;;;5025;The Legion Clan
Buddha;;1987;bg;2002;2007;;;;5001.79;Se7eN,Olympus,The Legion Clan
Fedex;;1993;ar;2003;-1;934;1193;2240;4842.84;ReBeL,Clan Nerd,Clan Arg,Dreamers,Dark Age Rules,Gaucho
Lucky Rox;;2000;ar;2019;-1;1570;832;2018;4820.84;Latin Kingdoms,DarkSidE,Dreamers
Babaorum;;1990;fr;2001;-1;4711;693;2363;4678.21;
NO_23;_chy_23k,Miss_Xue;;cn;;-1;440;6383;;4476.23;SY,King
El KhaLeN;Khalen;;fr;;;19;44;;4453.24;
CooL;;1992;vn;2011;-1;268;138;2374;4331.81;Vietnam Legends
Spring;;1987;us;1999;-1;4723;2044;2344;4315.4;Berserkers,Viper,BuzZ,Revenge of Knight,Heresy,Dark Empire
jamesXX;;;cn;;;;;;4290.52;
Ciskhan;;2003;fr;2021;-1;2717;1483;;4153.16;Fox
Sobek;;1996;cl;2011;-1;1981;2069;2358;4075.33;The Immortals,Lords of Skulls,NHN,Chilean Masters,Rulers of Rome,Imperiales Team,QueNaNiNa,Team Honor,DarkSidE
Kaiser_Willhelm;;;se;2000;2002;;;;4000; Myth
Rami;blade,ramirez;;il;2003;2006;;;;3991.67;RiZen,CsI,StorM,ArgoNaut
SY;;;cn;;-1;;;;3988.14;SY
